category,title,variables,path,design_reason
Scatterplots,Avg in State Tuition versus homelessness rate,avg_in_state_tuition; homeless_rate_per_10k,charts/06_scatterplots/avg_in_state_tuition_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,State Population versus homelessness rate,state_population; homeless_rate_per_10k,charts/06_scatterplots/state_population_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Population Density versus homelessness rate,population_density; homeless_rate_per_10k,charts/06_scatterplots/population_density_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Population Growth Rate Pct versus homelessness rate,population_growth_rate_pct; homeless_rate_per_10k,charts/06_scatterplots/population_growth_rate_pct_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Pct Age 18 24 versus homelessness rate,pct_age_18_24; homeless_rate_per_10k,charts/06_scatterplots/pct_age_18_24_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Pct Age 65plus versus homelessness rate,pct_age_65plus; homeless_rate_per_10k,charts/06_scatterplots/pct_age_65plus_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Avg Household Size versus homelessness rate,avg_household_size; homeless_rate_per_10k,charts/06_scatterplots/avg_household_size_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Avg Temp f versus homelessness rate,avg_temp_f; homeless_rate_per_10k,charts/06_scatterplots/avg_temp_f_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Precip in versus homelessness rate,precip_in; homeless_rate_per_10k,charts/06_scatterplots/precip_in_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Cooling Degree Days versus homelessness rate,cooling_degree_days; homeless_rate_per_10k,charts/06_scatterplots/cooling_degree_days_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Median Rent versus homelessness rate,median_rent; homeless_rate_per_10k,charts/06_scatterplots/median_rent_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Median Home Price versus homelessness rate,median_home_price; homeless_rate_per_10k,charts/06_scatterplots/median_home_price_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Rent as Pct Income versus homelessness rate,rent_as_pct_income; homeless_rate_per_10k,charts/06_scatterplots/rent_as_pct_income_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Rent Burden Share versus homelessness rate,rent_burden_share; homeless_rate_per_10k,charts/06_scatterplots/rent_burden_share_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Rental Vacancy Rate versus homelessness rate,rental_vacancy_rate; homeless_rate_per_10k,charts/06_scatterplots/rental_vacancy_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Homeownership Rate versus homelessness rate,homeownership_rate; homeless_rate_per_10k,charts/06_scatterplots/homeownership_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Housing Units per Capita versus homelessness rate,housing_units_per_capita; homeless_rate_per_10k,charts/06_scatterplots/housing_units_per_capita_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,New Housing Permits versus homelessness rate,new_housing_permits; homeless_rate_per_10k,charts/06_scatterplots/new_housing_permits_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Housing Supply Growth Rate versus homelessness rate,housing_supply_growth_rate; homeless_rate_per_10k,charts/06_scatterplots/housing_supply_growth_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Eviction Filing Rate versus homelessness rate,eviction_filing_rate; homeless_rate_per_10k,charts/06_scatterplots/eviction_filing_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Cpi u versus homelessness rate,cpi_u; homeless_rate_per_10k,charts/06_scatterplots/cpi_u_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Unsheltered Share Pct versus homelessness rate,unsheltered_share_pct; homeless_rate_per_10k,charts/06_scatterplots/unsheltered_share_pct_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Total Beds per 10k versus homelessness rate,total_beds_per_10k; homeless_rate_per_10k,charts/06_scatterplots/total_beds_per_10k_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Estimated Housing Units versus homelessness rate,estimated_housing_units; homeless_rate_per_10k,charts/06_scatterplots/estimated_housing_units_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Permits per 1000 Housing Units versus homelessness rate,permits_per_1000_housing_units; homeless_rate_per_10k,charts/06_scatterplots/permits_per_1000_housing_units_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Home Price to Income Ratio versus homelessness rate,home_price_to_income_ratio; homeless_rate_per_10k,charts/06_scatterplots/home_price_to_income_ratio_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Median Rent 2025 Usd versus homelessness rate,real_median_rent_2025_usd; homeless_rate_per_10k,charts/06_scatterplots/real_median_rent_2025_usd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Median Home Price 2025 Usd versus homelessness rate,real_median_home_price_2025_usd; homeless_rate_per_10k,charts/06_scatterplots/real_median_home_price_2025_usd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Personal Income per Capita 2025 Usd versus homelessness rate,real_personal_income_per_capita_2025_usd; homeless_rate_per_10k,charts/06_scatterplots/real_personal_income_per_capita_2025_usd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Median Household Income 2025 Usd versus homelessness rate,real_median_household_income_2025_usd; homeless_rate_per_10k,charts/06_scatterplots/real_median_household_income_2025_usd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Minimum Wage 2025 Usd versus homelessness rate,real_minimum_wage_2025_usd; homeless_rate_per_10k,charts/06_scatterplots/real_minimum_wage_2025_usd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Real Home Price Growth Pct versus homelessness rate,real_home_price_growth_pct; homeless_rate_per_10k,charts/06_scatterplots/real_home_price_growth_pct_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
