"check_id","requirement","expected","observed","status","detail"
"2.9","EDA_FINDINGS_v2.md dimensions (887 x 47; 6 id, 2 control, 38 predictors) agree","887 rows x 47 cols","887 rows x 47 cols","PASS",""
"2.10","Target year 2021 absent (COVID PIT exclusion) and target range matches EDA","no 2021 target; range 4.83-165.09","2021 rows = 0; range 4.83-165.09","PASS",""
"3.1","Eight outer validation years, 2017-2020 and 2022-2025","2017;2018;2019;2020;2022;2023;2024;2025","2017;2018;2019;2020;2022;2023;2024;2025","PASS",""
"3.2","Manifest outer_validation_years matches fold definitions","2017;2018;2019;2020;2022;2023;2024;2025","2017;2018;2019;2020;2022;2023;2024;2025","PASS",""
"3.3","Fold definitions reproduce exactly from the workbook (expanding window by target year)","all 8 folds identical on train/val year bounds and row counts","identical","PASS",""
"3.4","Every training row strictly precedes its fold's validation year","max(train_year) < validation_year for all folds","max gap = 1 year(s); violations = 0","PASS",""
"3.5","Source constructs training index as target_year strictly less than validation year","train_idx = which(dat$target_year < vy)","present","PASS",""
"3.6","Every scored row is a held-out row of its own fold and uses prior-year predictors","target_year == validation_year and predictor_year == target_year - 1","holds for all 4995 prediction rows","PASS",""
"3.7","Scored CoC-years equal the union of the eight validation years (555 rows, each scored once per model x rule)","555 distinct CoC-years","555","PASS",""
"3.8","No in-sample scoring: no prediction row has target_year < 2017","0","0","PASS",""
"3.9","Exported 'actual' equals the workbook target for every scored CoC-year","0","0","PASS",""
"4.1","No identifier column appears as a model term in any fold","0 identifier terms","0","PASS","identifiers: state, state_abbr, coc_number, coc_name, predictor_year, target_year"
"4.2","Every model term is an intercept, a declared control, a declared predictor, or a predictor:FL interaction","0","0","PASS",""
"4.3","Target column never appears as a predictor term","0","0","PASS",""
"4.4","build_design() body references only predictor_cols and spec$controls","no identifier column referenced","none","PASS",""
"4.5","Predictor set inferred as the complement of identifiers/target/controls","predictor_cols <- setdiff(names(dat), c(id_cols, target_col, control_cols))","present","PASS",""
"4.6","Term counts match the declared design (pooled 1+2+38=41; interactions 1+2+38+38=79; state models 1+1+38=40)","pooled_lasso=41; pooled_lasso_state_interactions=79; separate_lasso_CA=40; separate_lasso_FL=40","pooled_lasso=41; pooled_lasso_state_interactions=79; separate_lasso_CA=40; separate_lasso_FL=40","PASS",""
"5.1","Design builder assigns penalty factor 0 to controls and 1 to every predictor/interaction","pen = c(rep(0, ncol(C)), rep(1, ...)) passed as penalty.factor in every glmnet call","confirmed in build_design(), tune_fc() inner and outer fits","PASS",""
"5.2","Empirical corroboration: control terms are non-zero in 100% of folds at both lambda rules","selection_freq = 1 for every control term x model x rule","12 control rows, min selection_freq = 1.000","PASS",""
"5.3","No control coefficient is ever shrunk to exactly zero","0","0","PASS",""
"5.4","State-specific models correctly drop the state control and retain the unpenalized time control","control_time_index only","control_time_index","PASS",""
"5.5","glmnet standardize=FALSE on every fit, so supplied penalty factors are not rescaled internally","standardize = FALSE on all glmnet calls","2 glmnet call(s), 2 with standardize = FALSE","PASS","Predictors are pre-standardized on training rows inside build_design(), so glmnet's own standardization is correctly disabled."
"6.1","Standardization centre/scale are computed from fit_rows only and applied to apply_rows","std_params(Xfit) from fit_rows; scale() applied to apply_rows","confirmed","PASS",""
"6.2","Outer scoring scales validation rows with outer-training statistics","build_design(spec, spec$rows, val_rows)","present","PASS",""
"6.3","Inner tuning re-fits scaling on each inner-training window only","build_design(spec, itr, itr) for fit; build_design(spec, itr, iva) for inner validation","present","PASS",""
"6.4","Lambda is tuned only on rows of the outer training window (spec$rows = train_idx)","tune_fc(spec) operates on spec$rows, which is the fold's train_idx","confirmed","PASS",""
"6.5","Lambda grid is rebuilt per fold (grid length varies with the training window)","n_grid varies across folds/models","17 distinct grid lengths, range 77-100","PASS",""
"6.6","lambda.1se is never smaller than lambda.min in any fold/model","TRUE","32 of 32 rows satisfy 1se >= min","PASS",""
"6.7","Log-target shift constant is derived from the full column, not training rows only","training-only derivation","min(dat[[target_col]]) over all 887 rows = 4.83 > 0, so shift = 0 in every fold","WARNING","No numerical effect in this run (shift is identically 0); a constant this small is not a leakage pathway, but it is the one preprocessing quantity read from the full column."
"7.1","Inner splits train on years 1..c and validate on year c+1 (strict forward chaining)","itr = uy[1:cc]; iva = uy[cc+1]","confirmed","PASS",""
"7.2","Inner split count equals K-2 for every fold/model, as forward chaining with min_inner_train_years=2 implies","n_inner_splits = n_train_years - 2 (3,4,5,6,7,8,9,10 across folds)","3,4,5,6,7,8,9,10","PASS","Leave-one-year-out CV would instead give K splits (5..12); the exported counts rule that out."
"7.3","Number of inner splits grows monotonically with the expanding training window","strictly increasing by fold","3,4,5,6,7,8,9,10","PASS",""
"7.4","Manifest records the tuning scheme as nested forward-chaining time CV","nested_forward_chaining_time_cv","nested_forward_chaining_time_cv","PASS",""
"7.5","Lambda choices exported for all four penalized specs in all eight folds","32","32","PASS",""
"8.1","Duan factor S = mean(exp(training residuals)), built from the training design and training actuals","duan(y_tr, yhat_tr) with y_tr = yof(spec$rows) and yhat_tr on dtr$x","confirmed","PASS",""
"8.2","S is estimated per model x fold x lambda rule and applied only to that fold's held-out rows","72 smearing rows (8 folds x [1 baseline + 4 penalized specs x 2 rules])","72","PASS",""
"8.3","Identity-target run applies no smearing (S fixed at 1, back-transform is a no-op)","duan() returns 1 and back_with() returns v when target is identity","confirmed","PASS",""
"8.4","Falsification test: exported S does not equal the value a validation-residual estimator would give","0 of 72 fold-level S values reproduce as validation-residual smearing","0 of 72; mean |ratio-1| = 0.1096 (range 0.8076 to 1.6711)","PASS",""
"8.5","All smearing factors are finite, positive and above 1 (right-skewed residual correction)","S > 1 for every row","range 1.0710 to 1.2735","PASS",""
"8.6","Manifest documents the retransformation as training-only and fold-specific","duan_smearing_training_only_fold_specific","duan_smearing_training_only_fold_specific","PASS",""
"9.1","All exported metrics reproduce from FINAL predictions (overall, by fold, by state, log target)","max |exported - recomputed| < 1e-08 across 128 metric rows","max abs diff = 6.395e-14 over 128 rows (128 PASS / 0 WARNING / 0 FAIL)","PASS",""
"9.2","Row counts behind every exported metric reproduce exactly","n_exported == n_recomputed for all rows","128 of 128 match","PASS",""
"9.3","Residual diagnostics (n, mean, sd, max |resid|) reproduce from FINAL predictions","all 29 rows","29 of 29 reproduce","PASS",""
"10.1","Among unified (single pooled) models on the raw target, interaction LASSO + lambda.min has the lowest pooled out-of-time RMSE","pooled_lasso_state_interactions / min","pooled_lasso_state_interactions / min (RMSE 14.6922 vs next best 15.1266)","PASS",""
"10.2","Same model also has the highest pooled out-of-time R2 among unified models","pooled_lasso_state_interactions / min","pooled_lasso_state_interactions / min (R2 0.6364)","PASS",""
"10.3","Same model also has the lowest pooled MAE among unified models","pooled_lasso_state_interactions / min","pooled_lasso / 1se (MAE 9.8050 vs claimed model 10.1413)","WARNING","MAE ranks the claimed model behind three other unified variants; the 'best' claim holds on squared-error criteria only."
"10.4","Claimed model beats the state-and-time baseline out of time","RMSE and R2 both better than baseline","RMSE 14.6922 vs 21.9315; R2 0.6364 vs 0.1899","PASS",""
"10.5","Raw target beats the log-target variant of the same model","rmse_log > rmse_raw","raw 14.6922 vs log 21.7458 (diff 7.0536)","PASS",""
"10.6","Qualifier 'unified' is load-bearing: the two-state separate LASSO scores better overall and must not be called second-best without it","separate_state_lasso is not a unified model","separate_state_lasso best RMSE 13.9020 / R2 0.6745 vs unified best RMSE 14.6922 / R2 0.6364","WARNING","The claim is only true when restricted to unified models; stated without that restriction it is false."
"10.7","Fold-level robustness of the 'best unified model' claim","wins a majority of the 8 folds on RMSE","wins 6 of 8 folds; winners: pooled_lasso_state_interactions/min, pooled_lasso_state_interactions/min, pooled_lasso_state_interactions/min, pooled_lasso_state_interactions/min, pooled_lasso_state_interactions/min, pooled_lasso/1se, pooled_lasso_state_interactions/min, pooled_lasso_state_interactions/1se","PASS","Pooled RMSE can be driven by a few folds; fold-level wins are reported so the claim is not over-read."
"11.1","Every exported CA/FL performance row reproduces from FINAL predictions","18 rows reproduce exactly","18 of 18 PASS","PASS",""
"11.2","State row counts partition the 555 scored rows (CA 347 + FL 208)","347 + 208 = 555","347 + 208 = 555","PASS",""
"11.3","separate_state_lasso state rows are identical to the CA/FL component models (no double counting of a distinct model)","identical RMSE by state and rule","identical","PASS","separate_state_lasso is the concatenation of separate_lasso_CA and separate_lasso_FL, not an independent fifth model."
"11.4","Florida RMSE is lower than California RMSE for every LASSO model/rule","TRUE for all paired rows","TRUE","PASS","Florida's CoC rates have a much smaller spread, so a lower RMSE there is not by itself better explanation."
"11.5","The state-and-time baseline's positive pooled R2 is backed by non-negative within-state R2","R2 >= 0 within CA and within FL","CA -0.1257; FL -0.0723","WARNING","The baseline's pooled R2 comes entirely from the CA/FL level gap; within state it is worse than each state's own mean. Any reading of pooled R2 as within-state explanatory power is unsupported."
"11.6","The claimed best unified model is also the best unified model within each state","claimed model has the lowest RMSE among unified models in both CA and FL","CA best unified = pooled_lasso_state_interactions/min (16.7508) vs claimed 16.7508; FL best unified = pooled_lasso/1se (8.4715) vs claimed 10.3863","WARNING","Within Florida the claimed model is the weakest of the four pooled LASSO variants; its overall win is carried by California, which supplies 63% of scored rows."
"11.7","Lowest-RMSE model in each state across all models (context for 11.6)","reported for context","CA = separate_lasso_CA/1se (15.6257); FL = pooled_lasso/1se (8.4715)","PASS",""
"12.1","Selection frequencies, mean/sd coefficients and sign consistency reproduce from FINAL_coefficients_by_fold.csv","all 392 stability rows","392 rows joined; max abs diff = 5.329e-14","PASS",""
"12.2","Every stability row is based on all eight folds","n_folds = 8 for every term","range 8-8","PASS",""
"12.3","Frequently selected predictors in the headline model keep a single sign across folds","sign_consistency = 1 for every term selected in >=50% of folds","0 of 23 frequently selected terms flip sign (none)","PASS","Sign flips across expanding training windows mean the direction of association is not stable and must not be reported as a directional finding."
"12.4","Headline-model selection is sparse relative to the 76 penalized columns","reported for context","14 of 76 penalized terms selected in all 8 folds; 23 in >=50%; 43 never selected","PASS",""
"12.5","Sign stability in the simpler pooled LASSO (lambda.min)","sign_consistency = 1 for terms selected in >=50% of folds","0 of 15 frequently selected terms flip sign (none)","PASS",""
"13.1","EDA highly-correlated pair table contains the 18 pairs cited in EDA_FINDINGS_v2.md","18","18","PASS",""
"13.2","No predictor selected in >=50% of folds by the headline model belongs to a |r|>=0.80 EDA pair","0 frequently selected predictors in a highly correlated pair","3 of 16 distinct predictors (from 23 frequently selected terms incl. :FL interactions) are members of a highly correlated pair: coc_population_growth_rate_pct, coc_real_gdp_quantity_index, coc_permits_value_per_1000_housing_units_2025_usd","WARNING","LASSO picks one member of a correlated pair near-arbitrarily; the selected member must not be reported as the operative variable."
"13.3","No correlated pair has BOTH members frequently selected","0 pairs (selection would be splitting a shared signal)","none","PASS","Where both members enter, individual coefficients are split between collinear columns and neither magnitude is interpretable alone."
"13.4","No always-selected (100% of folds) predictor is a correlated-pair member","0 always-selected predictors in a highly correlated pair","coc_population_growth_rate_pct, coc_real_gdp_quantity_index","WARNING","These carry the headline model's most stable signal yet each shares >=80% correlation with another predictor, so the attribution between cluster members is not identified."
"14.1","PRELIMINARY output set still present alongside the FINAL set","10 PRELIMINARY files","10","PASS","PRELIMINARY_coefficient_stability.csv; PRELIMINARY_coefficients_by_fold.csv; PRELIMINARY_fold_definitions.csv; PRELIMINARY_lambda_choices.csv; PRELIMINARY_metrics_by_fold.csv; PRELIMINARY_metrics_overall_out_of_time.csv; PRELIMINARY_model_summary.xlsx; PRELIMINARY_predictions.csv; PRELIMINARY_residual_diagnostics.csv; PRELIMINARY_run_manifest.csv"
"14.2","FINAL and PRELIMINARY use disjoint filename prefixes (no in-place overwrite possible)","0 shared filenames","0","PASS",""
"14.3","PRELIMINARY manifest still records the v1 development run","run_mode=DEVELOPMENT_V1; input=v1 workbook; md5=v1 md5; 898 rows/47 predictors/71 CoCs","run_mode=DEVELOPMENT_V1; input=CA_FL_LASSO_MODEL_INPUT.xlsx; md5=4110465a13203019171ff2b3e4d6bb8e; 898 rows/47 predictors/71 CoCs","PASS",""
"14.4","PRELIMINARY files predate the FINAL run and none was touched by it","all mtimes before FINAL run at 2026-07-24T21:24:37Z","latest PRELIMINARY mtime 2026-07-24 20:41:44 UTC; PRELIMINARY manifest stamp 2026-07-24T20:41:44Z","PASS",""
"14.5","PRELIMINARY results are distinct from FINAL results (not a relabelled copy)","different row counts / metrics","PRELIMINARY predictions 5049 rows vs FINAL 4995 rows","PASS",""
"14.6","PRELIMINARY run did not include the log-target sensitivity (nothing silently reused as FINAL)","run_log_target=FALSE in PRELIMINARY; TRUE in FINAL","PRELIMINARY=FALSE; FINAL=TRUE","PASS",""
"15.1","Model names identical across predictions, metrics, residual diagnostics, state performance and log outputs","pooled_lasso; pooled_lasso_state_interactions; separate_lasso_CA; separate_lasso_FL; separate_state_lasso; state_time_baseline","pooled_lasso; pooled_lasso_state_interactions; separate_lasso_CA; separate_lasso_FL; separate_state_lasso; state_time_baseline","PASS",""
"15.2","Coefficient and lambda files cover exactly the four penalized specs","pooled_lasso; pooled_lasso_state_interactions; separate_lasso_CA; separate_lasso_FL","pooled_lasso; pooled_lasso_state_interactions; separate_lasso_CA; separate_lasso_FL","PASS",""
"15.3","Lambda-rule labels consistent everywhere (penalized models min/1se, baseline none)","min, 1se, none used consistently","consistent","PASS",""
"15.4","Fold to validation-year mapping identical in fold definitions, predictions, metrics, lambda choices and smearing","identical in all five files","identical","PASS",""
"15.5","Prediction row counts consistent: 555 scored rows x (baseline + 2 pooled specs x 2 rules + separate combo x 2 rules) plus CA/FL component rows","4995","4995","PASS",""
"15.6","Log-target prediction file has the same shape as the raw-target file","4995","4995","PASS",""
"15.7","Target-transformation labelling is unambiguous (raw scope vs LOGTARGET scope)","pooled_all_folds vs pooled_all_folds_LOGTARGET","consistent","PASS",""
"15.8","raw_vs_log comparison reproduces from the two metric files and its difference column is arithmetically correct","all 11 rows consistent","consistent","PASS",""
"15.9","lambda.min vs lambda.1se comparison reproduces from the overall metric file","all 5 rows consistent","consistent","PASS",""
"15.10","FINAL_model_summary.xlsx sheets match the CSV exports","run_manifest; fold_definitions; metrics_overall; metrics_by_fold; coef_stability; residual_diag; lambda_choices; ca_fl_performance; lambda_min_vs_1se; raw_vs_log; log_smearing","run_manifest; fold_definitions; metrics_overall; metrics_by_fold; coef_stability; residual_diag; lambda_choices; ca_fl_performance; lambda_min_vs_1se; raw_vs_log; log_smearing","PASS",""
"15.11","FINAL_analysis_statements.md row/CoC counts and validation years match the manifest and fold definitions","887 rows, 70 CoCs, 8 validation years","row/CoC statement found=TRUE; validation-year statement found=TRUE","PASS",""
"15.12","Every scored CoC-year appears exactly once per model x lambda rule","no duplicated model x rule x CoC x year","0","PASS",""
"15.13","No missing predictions in any exported model","0","0","PASS",""
